,conduct,age,gender,nationality,pob,tutor/makeup,grade,admission,guardian,time_with_parents,communication_with_parents,reward_for_achievements,parent_understanding,transport_type,residence,travel time,birth_order,exercice,previous_school,mother_tongue,curriculum,sleeping time_in_pm,parenting_style,trauma,type,quality,english,amharic,arabic,geez,ict,maths,ss,gp,is,moral,hpe,art,chemistry,physics,gpa,literature,biology,geography,history,civics,ent-ship,matrik,level
26,a,12.0,m,ethiopian,ethiopia,no,6,paid,both,a lot,agree,strongly agree,strongly agree,private,bethel,15-,first child,2.0,beteseb academy,eth-lang,yes,8.0,authoritative,0.0,none,4.25,85.99,91.63,94.04,94.02,96.51,83.92,94.4,97.5,81.98,90.05,97.0,92.17,,,91.6,,,,,,,,middleschool
27,a,11.0,f,ethiopian,ethiopia,yes,6,paid,other,a lot,agree,strongly agree,strongly agree,private,bole,30-60,middle child,1.0,intellectual,eth-lang,yes,9.0,authoritative,0.0,none,4.25,66.96,73.72,80.12,90.09,70.44,60.17,51.3,96.5,60.44,84.38,98.0,93.92,,,77.2,,,,,,,,middleschool
28,c,12.0,m,ethiopian,ethiopia,no,6,paid,both,a lot,somehow agree,strongly agree,agree,private,anfo,15-30,middle child,1.0,rice,eth-lang,yes,8.0,authoritarian,0.0,none,3.75,78.09,88.13,66.42,68.36,72.2,80.75,73.16,94.75,52.51,82.97,96.0,89.0,,,78.5,,,,,,,,middleschool
29,a,12.0,m,american,foriegn_soil,yes,6,paid,mother,a lot,agree,strongly agree,agree,private,atena tera,15-30,first child,3.0,st francis,for-lang,yes,10.0,authoritarian,1.0,emotional,4.0,98.81,90.56,99.4,95.7,95.81,91.0,94.65,100.0,93.29,92.44,96.0,100.0,,,95.6,,,,,,,,middleschool
30,a,12.0,f,canadian,ethiopia,yes,6,paid,both,little,somehow agree,somehow agree,somehow agree,private,bole,15-30,first child,2.0,old lady rivers,eth-lang,yes,9.0,authoritarian,0.0,none,2.75,88.98,98.76,90.61,79.7,78.32,77.92,80.46,96.0,64.36,84.11,91.14,91.42,,,85.1,,,,,,,,middleschool
31,a,12.0,f,ethiopian,ethiopia,no,6,paid,both,a lot,strongly agree,strongly agree,strongly agree,service,sarbet,15-,middle child,2.0,neps,eth-lang,no,9.5,authoritarian,1.0,emotional,4.5,88.85,94.27,100.0,91.26,85.24,81.5,80.44,99.0,82.68,90.89,90.14,99.0,,,90.3,,,,,,,,middleschool
32,c,12.0,m,ethiopian,ethiopia,yes,6,paid,mother,a lot,agree,strongly agree,agree,private,torhailoch,15-30,first child,3.0,st joseph,for-lang,no,8.5,authoritative,1.0,physcological,4.0,80.91,70.93,73.71,64.41,82.73,67.92,52.1,95.0,52.68,84.44,91.43,87.0,,,75.3,,,,,,,,middleschool
33,a,11.0,f,american,foriegn_soil,no,6,paid,both,little,somehow agree,strongly agree,disagree,private,lebu,30-60,first child,3.0,neps,for-lang,yes,7.0,authoritative,1.0,emopsy,3.0,97.04,90.33,99.43,95.7,94.82,89.0,97.02,100.0,87.6,96.36,98.57,93.58,,,95.0,,,,,,,,middleschool
34,b,11.0,f,british,foriegn_soil,no,6,paid,both,a lot,agree,agree,strongly agree,private,welete,60+,first child,1.0,coleridge,for-lang,yes,9.0,authoritarian,0.0,none,4.0,88.5,78.78,99.43,78.64,73.0,82.92,87.14,86.75,66.11,86.25,95.14,96.08,,,84.9,,,,,,,,middleschool
35,c,12.0,m,ethiopian,ethiopia,no,6,paid,both,a lot,strongly agree,strongly agree,strongly agree,private,asco,15-30,middle child,2.0,jemo 2,eth-lang,yes,12.0,permissive,1.0,emotional,4.5,88.59,92.98,92.56,81.75,77.07,79.42,87.34,93.5,72.03,81.89,93.0,87.33,,,85.6,,,,,,,,middleschool
36,a,12.0,m,ethiopian,ethiopia,no,6,paid,both,a lot,agree,agree,agree,private,sarbet,30-60,first child,1.0,hilltops,eth-lang,no,9.0,authoritative,1.0,emotional,3.75,74.94,73.32,94.17,85.27,71.52,60.0,59.75,87.0,50.6,80.64,85.29,94.0,,,76.4,,,,,,,,middleschool
37,a,11.0,m,ethiopian,ethiopia,no,6,paid,both,a lot,strongly agree,strongly agree,strongly agree,private,sarbet,15-30,middle child,3.0,beteseb academy,eth-lang,no,8.0,authoritative,0.0,none,4.5,87.75,95.23,99.43,83.02,91.2,79.92,80.73,94.0,77.92,86.18,92.71,94.92,,,88.6,,,,,,,,middleschool
38,b,11.0,m,ethiopian,ethiopia,yes,6,paid,other,a lot,agree,agree,agree,service,kolfe,15-,first child,3.0,unity,for-lang,yes,9.5,authoritative,0.0,none,3.75,87.31,88.71,84.75,80.47,84.97,75.08,93.2,97.25,83.44,87.98,94.14,98.33,,,88.0,,,,,,,,middleschool
39,a,11.0,m,american,foriegn_soil,yes,6,paid,both,a lot,agree,agree,agree,private,asco,30-60,first child,2.0,neps,eth-lang,yes,12.0,authoritative,0.0,none,3.75,82.76,76.49,89.64,95.1,85.83,78.75,66.04,95.0,75.03,82.83,92.71,95.08,,,84.6,,,,,,,,middleschool
40,a,11.0,m,american,foriegn_soil,no,6,paid,mother,a lot,agree,strongly agree,agree,private,jemo,15-30,last child,3.0,lion heart,eth-lang,yes,10.0,authoritative,0.0,none,4.0,78.46,62.96,65.06,67.98,74.79,79.17,70.03,96.0,55.25,81.96,94.71,91.83,,,76.5,,,,,,,,middleschool
41,b,12.0,f,ethiopian,ethiopia,no,6,paid,both,a lot,agree,strongly agree,disagree,private,lebu,60+,middle child,3.0,intellectual,for-lang,yes,6.5,authoritative,1.0,emoxpsy,3.5,89.41,77.18,95.96,65.19,77.53,68.75,95.5,95.75,68.93,96.51,97.14,88.42,,,84.7,,,,,,,,middleschool
42,a,12.0,f,ethiopian,ethiopia,no,6,paid,both,a lot,somehow agree,agree,agree,private,kera,15-,first child,1.0,school of tomorrow,eth-lang,yes,7.0,authoritative,0.0,none,3.5,96.8,94.45,100.0,93.18,91.55,90.75,93.63,100.0,90.55,87.36,100.0,94.58,,,94.4,,,,,,,,middleschool
43,c,12.0,m,ethiopian,ethiopia,yes,6,paid,both,not much,somehow agree,strongly disagree,disagree,private,zenebework,15-30,middle child,3.0,school of nations,eth-lang,no,10.5,authoritative,0.0,none,1.75,84.11,91.13,86.8,81.82,74.11,82.42,77.0,98.75,58.64,78.52,93.86,94.33,,,83.5,,,,,,,,middleschool
44,a,12.0,m,ethiopian,ethiopia,yes,6,paid,both,a lot,strongly agree,strongly agree,strongly agree,private,bethel,15-30,first child,2.0,bikolos,for-lang,yes,8.0,authoritative,0.0,none,4.5,92.32,94.34,100.0,98.24,92.75,86.17,67.21,92.25,79.15,91.82,95.0,99.25,,,90.7,,,,,,,,middleschool
45,a,12.0,m,american,foriegn_soil,no,6,paid,both,a lot,strongly agree,strongly agree,strongly agree,private,lebu,30-60,last child,3.0,stanford,eth-lang,yes,10.0,authoritative,1.0,physical,4.5,97.68,95.91,97.63,101.84,97.14,86.25,98.25,96.0,90.94,95.51,96.14,98.75,,,96.0,,,,,,,,middleschool
46,a,12.0,m,american,foriegn_soil,no,6,paid,both,little,disagree,somehow agree,strongly disagree,private,bole,30-60,last child,3.0,school of science,for-lang,yes,10.0,authoritarian,1.0,none,2.0,95.8,98.59,90.25,80.69,93.42,92.75,97.09,100.0,86.18,94.1,96.57,96.58,,,93.5,,,,,,,,middleschool
47,a,12.0,f,american,foriegn_soil,yes,6,paid,other,little,strongly agree,strongly agree,strongly agree,service,wingate,15-30,first child,2.0,hieman,for-lang,yes,10.0,authoritative,0.0,none,4.25,91.98,95.94,52.37,73.23,83.66,82.75,91.36,100.0,64.06,89.24,93.86,76.1,,,82.9,,,,,,,,middleschool
48,a,13.0,f,ethiopian,ethiopia,yes,7,paid,both,a lot,strongly agree,strongly agree,agree,private,lafto,30-60,first child,1.0,school of tomorrow,eth-lang,yes,9.0,authoritative,1.0,none,4.25,82.71,96.69,86.73,85.83,91.18,77.12,78.54,100.0,76.36,93.73,98.54,88.5,91.07,82.49,87.8,,,,,,,,middleschool
49,a,13.0,m,ethiopian,ethiopia,no,7,paid,both,a lot,agree,agree,agree,private,ayertena,15-30,last child,0.0,rice,eth-lang,no,8.0,authoritarian,0.0,none,3.75,81.84,88.08,90.22,63.13,81.54,71.51,69.61,93.5,72.45,80.84,79.69,88.75,84.83,74.14,80.0,,,,,,,,middleschool
50,a,14.0,m,ethiopian,ethiopia,yes,7,scholarship,both,a lot,agree,agree,somehow agree,public,asco,30-60,first child,0.0,lelisies talent,eth-lang,yes,7.0,authoritative,1.0,physical,3.5,83.38,96.63,94.67,99.61,92.95,93.09,89.86,96.5,84.46,83.42,96.62,118.5,99.33,83.57,93.8,,,,,,,,middleschool
51,a,14.0,f,ethiopian,ethiopia,yes,7,paid,both,a lot,strongly agree,strongly agree,strongly agree,service,ayat,30-60,middle child,2.0,gibson,eth-lang,yes,8.5,authoritative,0.0,none,4.5,80.54,99.81,94.28,92.09,90.45,76.42,87.3,98.0,82.04,88.21,94.15,98.25,91.28,84.01,89.8,,,,,,,,middleschool
52,a,14.0,f,ethiopian,ethiopia,yes,7,scholarship,both,a lot,strongly agree,strongly agree,strongly agree,foot,kolfe,15-30,first child,3.0,meseret edget,eth-lang,yes,4.5,authoritative,0.0,none,4.5,77.0,99.81,95.56,100.0,93.15,92.25,90.91,94.25,82.71,79.99,98.54,99.25,90.4,86.33,91.4,,,,,,,,middleschool
53,a,13.0,m,ethiopian,ethiopia,no,7,paid,both,a lot,agree,agree,agree,private,bole,15-30,middle child,3.0,gibson,eth-lang,no,9.0,authoritative,0.0,none,3.75,77.06,91.59,86.34,79.79,82.27,87.01,83.07,92.0,78.63,82.98,97.08,93.5,87.72,83.98,85.9,,,,,,,,middleschool
54,a,13.0,f,ethiopian,ethiopia,no,7,paid,both,a lot,strongly agree,strongly agree,strongly agree,service,mekanisa,15-30,first child,2.0,neps,eth-lang,no,9.0,authoritative,1.0,physical,4.5,89.13,96.14,95.56,84.32,89.56,74.02,84.51,94.5,81.51,72.56,93.62,82.5,87.53,78.97,86.0,,,,,,,,middleschool
55,a,12.0,m,ethiopian,ethiopia,yes,7,scholarship,both,a lot,somehow agree,somehow agree,somehow agree,public,ayertena,15-30,first child,1.0,biruh tesfa,eth-lang,no,8.5,authoritarian,0.0,none,3.0,92.48,99.44,95.56,100.0,95.53,91.58,88.04,99.25,77.59,82.03,97.08,94.5,91.51,88.5,92.4,,,,,,,,middleschool
56,a,14.0,f,ethiopian,ethiopia,yes,7,scholarship,both,a lot,agree,agree,agree,public,jemo,60+,middle child,0.0,jemo 2,eth-lang,yes,7.0,authoritative,0.0,none,3.75,90.39,100.0,95.11,100.0,93.56,96.34,89.58,98.25,86.28,87.12,98.54,99.75,90.4,89.0,93.9,,,,,,,,middleschool
57,a,12.0,f,american,foriegn_soil,no,7,paid,mother,a lot,strongly agree,strongly agree,agree,private,kality,30-60,first child,2.0,herbert hoover,for-lang,yes,8.0,authoritarian,0.0,none,4.25,97.4,96.83,85.79,71.87,88.67,72.98,83.62,96.0,61.74,93.64,90.15,94.5,78.15,73.82,84.7,,,,,,,,middleschool
58,a,12.0,f,ethiopian,ethiopia,no,7,paid,both,little,agree,strongly agree,agree,private,anfo,15-30,first child,1.0,one planet,eth-lang,yes,8.0,authoritative,1.0,none,3.75,91.98,91.43,90.56,70.58,87.84,89.76,76.85,97.75,76.26,81.65,95.08,93.0,89.96,86.36,87.1,,,,,,,,middleschool
59,a,12.0,m,ethiopian,ethiopia,yes,7,paid,both,a lot,strongly agree,strongly agree,strongly agree,private,german square,15-30,first child,0.0,gibson,eth-lang,no,8.0,authoritative,0.0,none,4.5,87.61,95.52,95.11,82.11,90.1,80.08,77.21,98.25,62.3,79.38,93.54,91.5,88.2,83.41,86.0,,,,,,,,middleschool
60,a,13.0,f,ethiopian,ethiopia,no,7,paid,both,a lot,agree,agree,disagree,private,jemo,30-60,middle child,1.0,bgis,eth-lang,yes,8.0,authoritarian,0.0,none,3.25,95.0,92.55,90.02,81.38,95.87,87.84,86.3,97.0,70.17,91.94,96.54,94.25,91.29,86.98,89.8,,,,,,,,middleschool
61,a,12.0,f,ethiopian,foriegn_soil,no,7,paid,both,a lot,strongly agree,strongly agree,strongly agree,private,lebu,15-30,last child,1.0,intellectual,eth-lang,no,8.0,authoritative,0.0,none,4.5,80.08,86.55,93.47,81.38,84.52,80.71,79.68,94.75,58.12,86.31,82.54,90.25,91.29,82.94,83.8,,,,,,,,middleschool
62,a,13.0,f,ethiopian,ethiopia,no,7,scholarship,both,a lot,strongly agree,strongly agree,strongly agree,service,jemo,30-60,middle child,3.0,jemo 2,eth-lang,no,8.0,authoritative,0.0,none,4.5,77.26,97.24,95.56,100.0,91.34,89.58,82.34,95.5,82.47,77.7,100.0,98.0,89.06,89.86,90.4,,,,,,,,middleschool
63,b,13.0,f,ethiopian,ethiopia,no,7,scholarship,both,a lot,strongly agree,strongly agree,agree,private,kazanchis,15-,last child,2.0,neps,eth-lang,yes,8.5,authoritative,1.0,none,4.25,87.76,94.61,83.88,84.38,89.74,72.2,69.76,100.0,66.01,79.9,89.62,95.25,88.61,85.58,84.8,,,,,,,,middleschool
64,a,12.0,f,ethiopian,ethiopia,no,7,scholarship,both,a lot,strongly agree,strongly agree,strongly agree,private,bole michael,30-60,first child,3.0,prestigious youth,eth-lang,yes,7.5,authoritative,1.0,none,4.5,96.69,98.96,95.56,87.43,96.55,89.89,88.36,94.75,83.92,88.55,93.91415929203536,98.5,90.29,82.13,91.7,,,,,,,,middleschool
65,a,14.0,m,ethiopian,ethiopia,yes,7,scholarship,other,a lot,agree,strongly agree,strongly agree,public,jemo,30-60,first child,2.0,abay,eth-lang,no,9.0,authoritative,0.0,none,4.25,65.73,99.63,99.43,100.0,89.79,90.47,80.14,87.25,87.17,92.36,101.91,92.5,84.88,92.63,90.3,,,,,,,,middleschool
66,a,12.0,f,ethiopian,ethiopia,no,7,paid,both,little,somehow agree,strongly agree,strongly agree,public,gotera,15-,last child,0.0,rice,eth-lang,yes,8.0,authoritative,0.0,none,3.75,81.49,95.59,90.37,84.22,84.36,63.22,73.04,98.0,55.74,93.62,89.33,62.0,75.29,75.64,80.1,,,,,,,,middleschool
67,a,12.0,f,american,foriegn_soil,no,7,paid,mother,a lot,strongly agree,strongly agree,strongly agree,private,jemo,15-30,first child,1.0,rice,eth-lang,yes,8.0,authoritative,0.0,none,4.5,71.32,92.56,84.6,81.96,82.24,71.34,79.56,92.0,69.39,92.9,95.29,90.0,84.0,89.05,84.0,,,,,,,,middleschool
68,a,13.0,f,ethiopian,ethiopia,yes,7,scholarship,both,a lot,strongly agree,strongly agree,strongly agree,service,jemo,30-60,first child,2.0,jemo 2,eth-lang,no,10.0,authoritative,0.0,none,4.5,78.4,99.63,100.0,100.0,96.06,94.08,79.45,99.0,87.14,88.43,103.29,100.0,86.15,97.35,93.5,,,,,,,,middleschool
69,a,12.0,m,ethiopian,ethiopia,no,7,paid,both,a lot,strongly agree,agree,strongly agree,private,lebu,15-30,last child,2.0,intellectual,eth-lang,no,9.0,authoritative,0.0,none,4.25,82.6,89.38,95.31,88.53,91.45,87.35,90.29,96.25,94.87,93.67,100.29,97.0,92.94,92.41,92.3,,,,,,,,middleschool
70,b,12.0,m,ethiopian,foriegn_soil,no,7,paid,both,a lot,agree,agree,agree,service,gerji,30-60,middle child,2.0,rice,for-lang,yes,7.0,authoritarian,1.0,emotional,3.75,87.3,94.42,83.1,77.56,85.38,77.78,76.86,93.75,78.74,85.02,87.0,85.0,85.78,87.88,84.7,,,,,,,,middleschool
71,a,12.0,f,ethiopian,ethiopia,yes,7,paid,both,a lot,strongly agree,strongly agree,agree,private,german square,30-60,middle child,0.0,intellectual,eth-lang,yes,8.5,authoritative,0.0,none,4.25,91.43,97.3,93.89,88.59,87.28,85.48,86.25,93.75,90.67,92.86,89.57,92.0,87.45,92.86,90.7,,,,,,,,middleschool
72,a,13.0,m,ethiopian,ethiopia,no,7,paid,both,a lot,strongly agree,strongly agree,strongly agree,private,bethel,15-,first child,3.0,beteseb academy,eth-lang,yes,9.0,authoritarian,0.0,none,4.5,91.96,98.6,96.0,94.66,92.43,93.72,86.02,98.75,93.37,95.93,96.29,99.0,93.9,93.75,94.6,,,,,,,,middleschool
73,a,12.0,f,ethiopian,ethiopia,yes,7,paid,both,a lot,strongly agree,strongly agree,strongly agree,private,jemo,15-30,middle child,2.0,neps,eth-lang,yes,9.0,authoritative,0.0,none,4.5,90.62,90.01,97.71,84.77,88.34,89.54,80.5,98.5,84.43,92.86,96.29,98.5,91.28,90.85,91.0,,,,,,,,middleschool
74,c,13.0,f,american,foriegn_soil,yes,7,paid,mother,a lot,agree,somehow agree,agree,private,old airport,15-,middle child,3.0,lycee,for-lang,yes,10.0,authoritative,0.0,none,3.5,80.99,95.71,77.86,70.08,76.59,63.29,65.63,96.25,60.64,93.07,85.04,86.5,77.42,82.6,79.4,,,,,,,,middleschool
75,a,12.0,f,american,foriegn_soil,yes,7,paid,both,a lot,strongly agree,agree,somehow agree,private,sarbet,15-30,first child,0.0,greek school,for-lang,yes,6.0,authoritarian,1.0,phyemo,3.75,85.38,88.95,97.69,75.89,92.74,80.22,84.72,100.0,81.89,92.47,92.29,92.0,92.62,91.96,89.2,,,,,,,,middleschool
76,a,12.0,f,ethiopian,ethiopia,yes,7,paid,both,not much,agree,agree,somehow agree,private,gulele,15-30,middle child,2.0,neps,eth-lang,no,7.5,authoritative,0.0,none,3.0,79.71,98.04,100.0,93.65,93.7,88.49,77.47,96.75,79.81,91.29,102.29,99.0,88.83,90.4,91.4,,,,,,,,middleschool
77,a,14.0,f,ethiopian,ethiopia,no,7,scholarship,both,a lot,strongly agree,agree,agree,service,jemo,30-60,middle child,2.0,jemo 2,eth-lang,no,7.0,authoritarian,0.0,none,4.0,73.82,99.82,100.0,100.0,88.46,94.4,84.46,96.25,82.88,85.07,104.29,99.5,89.36,88.84,91.9,,,,,,,,middleschool
78,b,12.0,f,ethiopian,ethiopia,yes,7,paid,both,a lot,agree,strongly agree,agree,private,german square,15-30,first child,3.0,flipper,eth-lang,yes,9.0,authoritative,0.0,none,4.0,90.67,90.45,90.68,90.65,89.93,75.27,86.09,95.5,82.1,86.36,93.29,95.5,87.42,88.3,88.7,,,,,,,,middleschool
79,b,13.0,f,american,foriegn_soil,no,7,paid,both,a lot,agree,strongly agree,agree,service,cmc,60+,middle child,0.0,flipper,eth-lang,yes,8.5,authoritative,0.0,none,4.0,79.96,95.25,90.31,84.26,84.83,71.98,63.26,93.5,74.96,84.1,104.29,97.5,87.05,85.34,85.5,,,,,,,,middleschool
